Type,Region,Name,Price(USD),Variant Price,Code,GBs,Validity(Days),Slug,Coverage,ID,Billing starts,Pre-Install Days,Speed,Support TopUp Type,Breakout IP
Single,South Korea,South Korea 500MB/Day,$0.40,$0.80,KR,0,1,KR_0.5_Daily,KR,P21XNC9CT,First Network Connection,180,3G/4G/5G,Non-reloadable,HK
Single,Thailand,Thailand 1GB/Day,$0.90,$1.80,TH,1,1,TH_1_Daily,TH,P5V3QF0VA,First Network Connection,180,3G/4G/5G,Non-reloadable,HK
Single,Thailand,Thailand 500MB/Day,$0.50,$1.00,TH,0,1,TH_0.5_Daily,TH,PZ9GTBKFR,First Network Connection,180,3G/4G/5G,Non-reloadable,HK
Single,United Kingdom,United Kingdom 1GB/Day,$0.80,$1.60,GB,1,1,GB_1_Daily,GB,P0YFEWXGN,First Network Connection,180,3G/4G/5G,Non-reloadable,UK/NO
Single,United Kingdom,United Kingdom 2GB/Day,$1.55,$3.10,GB,2,1,GB_2_Daily,GB,P9XKTG7UW,First Network Connection,180,3G/4G/5G,Non-reloadable,UK/NO
Single,United Kingdom,United Kingdom 500MB/Day,$0.60,$1.20,GB,0,1,GB_0.5_Daily,GB,PF527KUIR,First Network Connection,180,3G/4G/5G,Non-reloadable,UK/NO
Single,United States,United States 1.5GB/Day,$1.60,$3.20,US,1,1,US_1.5_Daily,US,P7KMNQCEM,First Network Connection,180,3G/4G/5G,Non-reloadable,UK/NO
Single,United States,United States 1GB/Day,$1.30,$2.60,US,1,1,US_1_Daily,US,P5NHFJKUS,First Network Connection,180,3G/4G/5G,Non-reloadable,UK/NO
Single,United States,United States 2GB/Day,$2.30,$4.60,US,2,1,US_2_Daily,US,P2D1OQDLK,First Network Connection,180,3G/4G/5G,Non-reloadable,UK/NO
Single,United States,United States 3GB 15Days,$2.20,$4.40,US,3,15,US_3_15,US,PGDINBJBY,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Aaland Islands,Aaland Islands 1GB 7Days,$1.80,$3.60,AX,1,7,AX_1_7,AX,CKH256,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Aaland Islands,Aaland Islands 20GB 30Days,$20.00,$40.00,AX,20,30,AX_20_30,AX,CKH740,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Aaland Islands,Aaland Islands 3GB 15Days,$4.60,$9.20,AX,3,15,AX_3_15,AX,CKH257,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Aaland Islands,Aaland Islands 3GB 30Days,$4.70,$9.40,AX,3,30,AX_3_30,AX,CKH105,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Aaland Islands,Aaland Islands 5GB 30Days,$7.00,$14.00,AX,5,30,AX_5_30,AX,CKH144,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Albania,Albania 10GB 30Days,$18.50,$37.00,AL,10,30,AL_10_30,AL,CKH952,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,
Single,Albania,Albania 1GB 7Days,$2.90,$5.80,AL,1,7,AL_1_7,AL,CKH525,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,
Single,Albania,Albania 20GB 30Days,$33.00,$66.00,AL,20,30,AL_20_30,AL,CKH953,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,
Single,Albania,Albania 3GB 15Days,$6.00,$12.00,AL,3,15,AL_3_15,AL,CKH548,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,
Single,Albania,Albania 3GB 30Days,$7.30,$14.60,AL,3,30,AL_3_30,AL,PL5JS8GQQ,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,
Single,Albania,Albania 5GB 30Days,$11.00,$22.00,AL,5,30,AL_5_30,AL,CKH549,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,
Single,Algeria,Algeria 10GB 30Days,$7.60,$15.20,DZ,10,30,DZ_10_30,DZ,CKH809,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,NL
Single,Algeria,Algeria 1GB 7Days,$1.10,$2.20,DZ,1,7,DZ_1_7,DZ,CKH515,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,NL
Single,Algeria,Algeria 20GB 30Days,$12.90,$25.80,DZ,20,30,DZ_20_30,DZ,CKH810,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,NL
Single,Algeria,Algeria 3GB 15Days,$2.80,$5.60,DZ,3,15,DZ_3_15,DZ,CKH551,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,NL
Single,Algeria,Algeria 5GB 30Days,$4.40,$8.80,DZ,5,30,DZ_5_30,DZ,CKH552,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,NL
Single,Argentina,Argentina 1GB 7Days,$3.60,$7.20,AR,1,7,AR_1_7,AR,CKH293,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Argentina,Argentina 20GB 30Days,$40.00,$80.00,AR,20,30,AR_20_30,AR,CKH858,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Argentina,Argentina 3GB 15Days,$8.90,$17.80,AR,3,15,AR_3_15,AR,CKH294,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Armenia,Armenia 1GB 7Days,$5.70,$11.40,AM,1,7,AM_1_7,AM,CKH514,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,
Single,Armenia,Armenia 20GB 30Days,$123.00,$246.00,AM,20,30,AM_20_30,AM,CKH776,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,
Single,Armenia,Armenia 3GB 15Days,$14.10,$28.20,AM,3,15,AM_3_15,AM,CKH555,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,
Single,Armenia,Armenia 3GB 30Days,$14.40,$28.80,AM,3,30,AM_3_30,AM,CKH030,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,
Multi-Area,Asia (12 areas),Asia (12 areas) 10GB 30Days,$22.90,$45.80,AS-12,10,30,AS-12_10_30,"MO,HK,TW,TH,SG,JP,KR,VN,ID,CN,MY,KH",P32JCTKR0,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,HK
Multi-Area,Asia (12 areas),Asia (12 areas) 1GB/Day,$3.40,$6.80,AS-12,1,1,AS-12_1_Daily,"MO,HK,TW,TH,SG,JP,KR,VN,ID,CN,MY,KH",PXJ8HG40S,First Network Connection,180,3G/4G,Non-reloadable,HK
Multi-Area,Asia (12 areas),Asia (12 areas) 20GB 30Days,$39.90,$79.80,AS-12,20,30,AS-12_20_30,"MO,HK,TW,TH,SG,JP,KR,VN,ID,CN,MY,KH",PWXD16M3T,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,HK
Multi-Area,Asia (12 areas),Asia (12 areas) 2GB/Day,$6.60,$13.20,AS-12,2,1,AS-12_2_Daily,"MO,HK,TW,TH,SG,JP,KR,VN,ID,CN,MY,KH",PVBKS19B4,First Network Connection,180,3G/4G,Non-reloadable,HK
Multi-Area,Asia (12 areas),Asia (12 areas) 3GB 30Days,$9.00,$18.00,AS-12,3,30,AS-12_3_30,"MO,HK,TW,TH,SG,JP,KR,VN,ID,CN,MY,KH",PTHP265BC,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,HK
Multi-Area,Asia (12 areas),Asia (12 areas) 3GB/Day,$8.70,$17.40,AS-12,3,1,AS-12_3_Daily,"MO,HK,TW,TH,SG,JP,KR,VN,ID,CN,MY,KH",PM5T3Z4UM,First Network Connection,180,3G/4G,Non-reloadable,HK
Multi-Area,Asia (12 areas),Asia (12 areas) 500MB/Day,$1.90,$3.80,AS-12,0,1,AS-12_0.5_Daily,"MO,HK,TW,TH,SG,JP,KR,VN,ID,CN,MY,KH",PACK04L3R,First Network Connection,180,3G/4G,Non-reloadable,HK
Multi-Area,Asia (12 areas),Asia (12 areas) 5GB 30Days,$13.50,$27.00,AS-12,5,30,AS-12_5_30,"MO,HK,TW,TH,SG,JP,KR,VN,ID,CN,MY,KH",P9ESS1C2D,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,HK
Multi-Area,Asia (7 areas),Asia (7 areas) 1GB/Day,$1.70,$3.40,AS-7,1,1,AS-7_1_Daily,"TH,SG,VN,PH,ID,MY,KH",P0N8SUBG5,First Network Connection,180,3G/4G/5G,Non-reloadable,HK
Multi-Area,Asia (7 areas),Asia (7 areas) 2GB/Day,$3.00,$6.00,AS-7,2,1,AS-7_2_Daily,"TH,SG,VN,PH,ID,MY,KH",PBZUB2S60,First Network Connection,180,3G/4G/5G,Non-reloadable,HK
Multi-Area,Asia (7 areas),Asia (7 areas) 500MB/Day,$0.90,$1.80,AS-7,0,1,AS-7_0.5_Daily,"TH,SG,VN,PH,ID,MY,KH",PX5NT8Z4K,First Network Connection,180,3G/4G/5G,Non-reloadable,HK
Multi-Area,Asia (7 areas),Asia (7 areas) 5GB/Day,$6.00,$12.00,AS-7,5,1,AS-7_5_Daily,"TH,SG,VN,PH,ID,MY,KH",PJ2W7KTJ4,First Network Connection,180,3G/4G/5G,Non-reloadable,HK
Single,Australia,Australia 10GB 30Days,$4.70,$9.40,AU,10,30,AU_10_30,AU,JC101,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,HK
Single,Australia,Australia 10GB/Day,$9.30,$18.60,AU,10,1,AU_10_Daily,AU,PWV71AAT5,First Network Connection,180,3G/4G/5G,Non-reloadable,HK
Single,Australia,Australia 1GB 7Days,$0.70,$1.40,AU,1,7,AU_1_7,AU,JC018,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,HK
Single,Australia,Australia 20GB 30Days,$8.20,$16.40,AU,20,30,AU_20_30,AU,JC102,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,HK
Single,Australia,Australia 2GB/Day,$2.00,$4.00,AU,2,1,AU_2_Daily,AU,PRUQ8T3B2,First Network Connection,180,3G/4G/5G,Non-reloadable,HK
Single,Australia,Australia 3GB 15Days,$1.70,$3.40,AU,3,15,AU_3_15,AU,JC019,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,HK
Single,Australia,Australia 3GB 30Days,$1.90,$3.80,AU,3,30,AU_3_30,AU,PM2ZWH3G5,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,HK
Single,Australia,Australia 3GB/Day,$2.85,$5.70,AU,3,1,AU_3_Daily,AU,P4GHU52FZ,First Network Connection,180,3G/4G/5G,Non-reloadable,HK
Single,Australia,Australia 50GB 180Days,$28.00,$56.00,AU,50,180,AU_50_180,AU,POU9P9TSZ,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,HK
Single,Australia,Australia 5GB 30Days,$2.70,$5.40,AU,5,30,AU_5_30,AU,JC020,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,HK
Single,Austria,Austria 10GB 30Days,$6.10,$12.20,AT,10,30,AT_10_30,AT,CKH159,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Austria,Austria 1GB 7Days,$0.90,$1.80,AT,1,7,AT_1_7,AT,CKH157,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Austria,Austria 20GB 30Days,$10.60,$21.20,AT,20,30,AT_20_30,AT,CKH537,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Austria,Austria 3GB 15Days,$2.20,$4.40,AT,3,15,AT_3_15,AT,CKH158,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Austria,Austria 3GB 30Days,$2.30,$4.60,AT,3,30,AT_3_30,AT,CKH076,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Austria,Austria 50GB 180Days,$22.00,$44.00,AT,50,180,AT_50_180,AT,PJG7CZ02I,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Austria,Austria 5GB 30Days,$3.40,$6.80,AT,5,30,AT_5_30,AT,CKH115,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Azerbaijan,Azerbaijan 1GB 7Days,$7.10,$14.20,AZ,1,7,AZ_1_7,AZ,CKH281,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Azerbaijan,Azerbaijan 3GB 15Days,$17.60,$35.20,AZ,3,15,AZ_3_15,AZ,CKH282,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Azerbaijan,Azerbaijan 3GB 30Days,$17.90,$35.80,AZ,3,30,AZ_3_30,AZ,CKH032,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Bahrain,Bahrain 1GB 7Days,$4.60,$9.20,BH,1,7,BH_1_7,BH,CKH289,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Bahrain,Bahrain 1GB/Day,$4.50,$9.00,BH,1,1,BH_1_Daily,BH,PU3UL09EV,First Network Connection,180,3G/4G/5G,Non-reloadable,UK/NO
Single,Bahrain,Bahrain 2GB/Day,$8.90,$17.80,BH,2,1,BH_2_Daily,BH,PCF04T9CZ,First Network Connection,180,3G/4G/5G,Non-reloadable,UK/NO
Single,Bahrain,Bahrain 3GB 15Days,$11.20,$22.40,BH,3,15,BH_3_15,BH,CKH290,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Bahrain,Bahrain 3GB 30Days,$11.40,$22.80,BH,3,30,BH_3_30,BH,CKH035,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Bahrain,Bahrain 3GB/Day,$11.10,$22.20,BH,3,1,BH_3_Daily,BH,PX05WUEX1,First Network Connection,180,3G/4G/5G,Non-reloadable,UK/NO
Single,Bahrain,Bahrain 500MB/Day,$2.25,$4.50,BH,0,1,BH_0.5_Daily,BH,PS4XW6D9Y,First Network Connection,180,3G/4G/5G,Non-reloadable,UK/NO
Single,Bangladesh,Bangladesh 1GB 7Days,$2.90,$5.80,BD,1,7,BD_1_7,BD,JC110,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,HK
Single,Bangladesh,Bangladesh 20GB 30Days,$32.00,$64.00,BD,20,30,BD_20_30,BD,JC156,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,HK
Single,Bangladesh,Bangladesh 3GB 15Days,$7.20,$14.40,BD,3,15,BD_3_15,BD,JC112,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,HK
Single,Bangladesh,Bangladesh 5GB 30Days,$11.00,$22.00,BD,5,30,BD_5_30,BD,JC113,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,HK
Single,Belarus,Belarus 1GB 7Days,$2.10,$4.20,BY,1,7,BY_1_7,BY,EF4MLC10,First Network Connection,180,3G/4G,Non-reloadable,
Single,Belarus,Belarus 3GB 15Days,$6.30,$12.60,BY,3,15,BY_3_15,BY,ALL95F6M,First Network Connection,180,3G/4G,Non-reloadable,
Single,Belarus,Belarus 5GB 30Days,$10.50,$21.00,BY,5,30,BY_5_30,BY,G9EDN4W6,First Network Connection,180,3G/4G,Non-reloadable,
Single,Belgium,Belgium 10GB 30Days,$6.10,$12.20,BE,10,30,BE_10_30,BE,CKH204,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Belgium,Belgium 1GB 7Days,$0.90,$1.80,BE,1,7,BE_1_7,BE,CKH202,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Belgium,Belgium 1GB/Day,$0.85,$1.70,BE,1,1,BE_1_Daily,BE,PWRT10ZX4,First Network Connection,180,3G/4G/5G,Non-reloadable,UK/NO
Single,Belgium,Belgium 20GB 30Days,$10.60,$21.20,BE,20,30,BE_20_30,BE,CKH502,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Belgium,Belgium 3GB 15Days,$2.20,$4.40,BE,3,15,BE_3_15,BE,CKH203,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Belgium,Belgium 3GB 30Days,$2.30,$4.60,BE,3,30,BE_3_30,BE,CKH077,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Belgium,Belgium 50GB 180Days,$22.00,$44.00,BE,50,180,BE_50_180,BE,PJ4UJHAJC,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Belgium,Belgium 5GB 30Days,$3.40,$6.80,BE,5,30,BE_5_30,BE,CKH116,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Bolivia,Bolivia 1GB 7Days,$5.70,$11.40,BO,1,7,BO_1_7,BO,CKH297,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Bolivia,Bolivia 20GB 30Days,$99.00,$198.00,BO,20,30,BO_20_30,BO,CKH831,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Bolivia,Bolivia 3GB 15Days,$16.80,$33.60,BO,3,15,BO_3_15,BO,CKH298,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Bosnia and Herzegovina,Bosnia and Herzegovina 1GB 7Days,$4.60,$9.20,BA,1,7,BA_1_7,BA,CKH531,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,
Single,Bosnia and Herzegovina,Bosnia and Herzegovina 3GB 15Days,$11.20,$22.40,BA,3,15,BA_3_15,BA,CKH563,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,
Single,Botswana,Botswana 1GB 7Days,$7.10,$14.20,BW,1,7,BW_1_7,BW,CKH368,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Botswana,Botswana 3GB 15Days,$17.60,$35.20,BW,3,15,BW_3_15,BW,CKH397,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Brazil,Brazil 10GB 30Days Single Use,$22.80,$45.60,BR,10,30,BR_10_30_End,BR,P2QDY5WD1,First Network Connection,180,3G/4G/5G,Non-reloadable,PL
Single,Brazil,Brazil 1GB 7Days,$2.30,$4.60,BR,1,7,BR_1_7,BR,CKH301,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Brazil,Brazil 1GB 7Days Single Use,$2.80,$5.60,BR,1,7,BR_1_7_End,BR,P7QUD52XF,First Network Connection,180,3G/4G/5G,Non-reloadable,PL
Single,Brazil,Brazil 1GB/Day,$2.20,$4.40,BR,1,1,BR_1_Daily,BR,PT5G8VBW7,First Network Connection,180,3G/4G/5G,Non-reloadable,PL
Single,Brazil,Brazil 20GB 30Days,$25.00,$50.00,BR,20,30,BR_20_30,BR,CKH860,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Brazil,Brazil 3GB 15Days,$5.70,$11.40,BR,3,15,BR_3_15,BR,CKH317,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Brazil,Brazil 3GB 30Days Single Use,$7.50,$15.00,BR,3,30,BR_3_30_End,BR,P4J9BRTA3,First Network Connection,180,3G/4G/5G,Non-reloadable,PL
Single,Brazil,Brazil 500MB/Day,$1.10,$2.20,BR,0,1,BR_0.5_Daily,BR,P74QTP3AR,First Network Connection,180,3G/4G/5G,Non-reloadable,PL
Single,Brazil,Brazil 5GB 30Days Single Use,$12.50,$25.00,BR,5,30,BR_5_30_End,BR,PVYS147BB,First Network Connection,180,3G/4G/5G,Non-reloadable,PL
Single,Brazil,Brazil 5GB/Day,$8.70,$17.40,BR,5,1,BR_5_Daily,BR,PUQ2TP57A,First Network Connection,180,3G/4G/5G,Non-reloadable,PL
Single,Brunei Darussalam,Brunei Darussalam 1GB 7Days,$4.60,$9.20,BN,1,7,BN_1_7,BN,CKH833,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,HK
Single,Brunei Darussalam,Brunei Darussalam 1GB/Day,$14.50,$29.00,BN,1,1,BN_1_Daily,BN,PU2ENL69H,First Network Connection,180,3G/4G,Non-reloadable,HK
Single,Brunei Darussalam,Brunei Darussalam 20GB 30Days,$50.00,$100.00,BN,20,30,BN_20_30,BN,CKH837,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,HK
Single,Brunei Darussalam,Brunei Darussalam 3GB 15Days,$11.20,$22.40,BN,3,15,BN_3_15,BN,CKH834,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,HK
Single,Brunei Darussalam,Brunei Darussalam 500MB/Day,$9.30,$18.60,BN,0,1,BN_0.5_Daily,BN,PRWWKX908,First Network Connection,180,3G/4G,Non-reloadable,HK
Single,Bulgaria,Bulgaria 10GB 30Days,$6.10,$12.20,BG,10,30,BG_10_30,BG,CKH207,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Bulgaria,Bulgaria 1GB 7Days,$0.90,$1.80,BG,1,7,BG_1_7,BG,CKH205,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Bulgaria,Bulgaria 3GB 15Days,$2.20,$4.40,BG,3,15,BG_3_15,BG,CKH206,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Bulgaria,Bulgaria 3GB 30Days,$2.30,$4.60,BG,3,30,BG_3_30,BG,CKH078,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Bulgaria,Bulgaria 50GB 180Days,$30.00,$60.00,BG,50,180,BG_50_180,BG,PQQINSIX3,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Burkina Faso,Burkina Faso 1GB 7Days,$7.10,$14.20,BF,1,7,BF_1_7,BF,CKH521,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Burkina Faso,Burkina Faso 3GB 15Days,$17.60,$35.20,BF,3,15,BF_3_15,BF,CKH572,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Burkina Faso,Burkina Faso 5GB 30Days,$26.00,$52.00,BF,5,30,BF_5_30,BF,CKH573,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Cambodia,Cambodia 10GB 30Days,$15.20,$30.40,KH,10,30,KH_10_30,KH,JC149,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,HK
Single,Cambodia,Cambodia 1GB 7Days,$2.30,$4.60,KH,1,7,KH_1_7,KH,JC109,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,HK
Single,Cambodia,Cambodia 20GB 30Days,$25.00,$50.00,KH,20,30,KH_20_30,KH,JC150,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,HK
Single,Cambodia,Cambodia 3GB 15Days,$5.70,$11.40,KH,3,15,KH_3_15,KH,JC115,First Network Connection,180,3G/4G,Data Reloadable for same area within validitity,HK
Single,Cameroon,Cameroon 1GB 7Days,$7.10,$14.20,CM,1,7,CM_1_7,CM,CKH526,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Cameroon,Cameroon 3GB 15Days,$17.60,$35.20,CM,3,15,CM_3_15,CM,CKH575,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,UK/NO
Single,Canada,Canada 10GB 30Days,$15.20,$30.40,CA,10,30,CA_10_30,CA,CKH778,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,PL
Single,Canada,Canada 10GB 30Days Single Use,$18.00,$36.00,CA,10,30,CA_10_30_End,CA,P62Q7VLTJ,First Network Connection,180,3G/4G/5G,Non-reloadable,PL
Single,Canada,Canada 1GB 7Days,$2.30,$4.60,CA,1,7,CA_1_7,CA,CKH516,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,PL
Single,Canada,Canada 1GB 7Days Single Use,$2.50,$5.00,CA,1,7,CA_1_7_End,CA,PNGH5E6S7,First Network Connection,180,3G/4G/5G,Non-reloadable,PL
Single,Canada,Canada 20GB 30Days,$25.00,$50.00,CA,20,30,CA_20_30,CA,CKH779,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,PL
Single,Canada,Canada 3GB  30Days Single Use,$6.60,$13.20,CA,3,30,CA_3_30_End,CA,PUYZ1X5Z9,First Network Connection,180,3G/4G/5G,Non-reloadable,PL
Single,Canada,Canada 3GB 15Days,$5.70,$11.40,CA,3,15,CA_3_15,CA,CKH578,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,PL
Single,Canada,Canada 3GB/Day,$5.40,$10.80,CA,3,1,CA_3_Daily,CA,P58GBEZQ3,First Network Connection,180,3G/4G/5G,Non-reloadable,UK/NO
Single,Canada,Canada 500MB/Day,$0.90,$1.80,CA,0,1,CA_0.5_Daily,CA,PPPTNR783,First Network Connection,180,3G/4G/5G,Non-reloadable,UK/NO
Single,Canada,Canada 5GB  30Days Single Use,$10.00,$20.00,CA,5,30,CA_5_30_End,CA,PL1YY76UZ,First Network Connection,180,3G/4G/5G,Non-reloadable,PL
Single,Canada,Canada 5GB 30Days,$8.80,$17.60,CA,5,30,CA_5_30,CA,CKH579,First Network Connection,180,3G/4G/5G,Data Reloadable for same area within validitity,PL
Multi-Area,Caribbean (20+ areas),Caribbean (20+ areas) 10GB 30Days Single Use,$44.90,$89.80,CB-25,10,30,CB-24_10_30_End,"BB,PR,JM,PY,DM,DO,BO,BR,GD,GF,KN,UY,AG,MS,AI,GP,CO,AN,VC,KY,TC,AR,VG,PE,LC",PCHZ59M2J,First Network Connection,180,3G/4G,Non-reloadable,PL
Multi-Area,Caribbean (20+ areas),Caribbean (20+ areas) 1GB 7Days Single Use,$5.90,$11.80,CB-25,1,7,CB-24_1_7_End,"BB,PR,JM,PY,DM,DO,BO,BR,GD,GF,KN,UY,AG,MS,AI,GP,CO,AN,VC,KY,TC,AR,VG,PE,LC",PUSHF5X80,First Network Connection,180,3G/4G,Non-reloadable,PL
Multi-Area,Caribbean (20+ areas),Caribbean (20+ areas) 1GB/Day,$6.80,$13.60,CB-25,1,1,CB-24_1_Daily,"BB,PR,JM,PY,DM,DO,BO,BR,GD,GF,KN,UY,AG,MS,AI,GP,CO,AN,VC,KY,TC,AR,VG,PE,LC",P8JCL47FC,First Network Connection,180,3G/4G,Non-reloadable,PL
Multi-Area,Caribbean (20+ areas),Caribbean (20+ areas) 3GB 30Days Single Use,$14.90,$29.80,CB-25,3,30,CB-24_3_30_End,"BB,PR,JM,PY,DM,DO,BO,BR,GD,GF,KN,UY,AG,MS,AI,GP,CO,AN,VC,KY,TC,AR,VG,PE,LC",PQB69VW8U,First Network Connection,180,3G/4G,Non-reloadable,PL
Multi-Area,Caribbean (20+ areas),Caribbean (20+ areas) 500MB/Day,$3.00,$6.00,CB-25,0,1,CB-24_0.5_Daily,"BB,PR,JM,PY,DM,DO,BO,BR,GD,GF,KN,UY,AG,MS,AI,GP,CO,AN,VC,KY,TC,AR,VG,PE,LC",PX2WSA7L1,First Network Connection,180,3G/4G,Non-reloadable,PL
Multi-Area,Caribbean (20+ areas),Caribbean (20+ areas) 5GB 30Days Single Use,$26.90,$53.80,CB-25,5,30,CB-24_5_30_End,"BB,PR,JM,PY,DM,DO,BO,BR,GD,GF,KN,UY,AG,MS,AI,GP,CO,AN,VC,KY,TC,AR,VG,PE,LC",P7GA02CZP,First Network Connection,180,3G/4G,Non-reloadable,PL
